Generated,Recycling,Incineration,Score
559,150,152,72.9
588,154,226,74.2
416,147,179,83.1
706,183,34,53.3
437,2,1,23.3
243,39,0,69.6
266,8,0,60
499,110,76,71
845,300,382,94.9
369,104,167,46.3
596,168,345,89.3
537,121,204,78.9
632,302,204,90.4
524,84,7,57.9
364,81,62,75.1
702,117,33,54
598,175,255,79.7
680,43,10,42.6
503,151,99,36.6
336,66,268,86.9
478,155,13,18.5
472,130,70,74.5
790,232,257,83.5
359,13,0,35.4
535,148,224,86.5
781,255,0,54.8
726,256,337,88.5
346,92,74,79.5
513,65,93,64.6
433,124,34,59.8
487,219,64,69.7
400,243,88,100
455,86,53,69.3
431,87,259,84.8
706,210,333,89.3
424,47,0,0
463,126,190,73.4
811,190,95,60.2
